time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-20,23.2,16.3,30.7,2.0,,,14.1,,1012.0,
2024-01-21,21.7,16.7,26.6,1.8,,,9.8,,1015.2,
2024-01-22,23.0,16.5,30.0,0.0,,,13.3,,1016.2,
2024-01-23,24.8,18.0,31.7,0.0,,,13.0,,1012.2,
2024-01-24,26.7,18.2,34.0,0.0,,,14.2,,1010.3,
2024-01-25,27.8,19.4,34.7,0.0,,,15.1,,1009.3,
2024-01-26,28.2,21.6,35.0,0.0,,,15.2,,1009.7,
2024-01-27,27.5,21.0,33.4,0.0,,,13.2,,1010.3,
2024-01-28,26.6,20.5,33.0,1.3,,,11.2,,1009.7,
2024-01-29,28.1,20.4,34.1,0.0,,,12.3,,1010.2,
2024-01-30,28.4,20.8,35.8,0.0,,,10.8,,1009.9,
2024-01-31,28.3,21.1,34.8,0.0,,,12.7,,1010.9,
2024-02-01,29.0,22.6,34.5,0.3,,,11.4,,1011.2,
2024-02-02,29.8,22.3,35.9,0.0,,,14.1,,1009.5,
2024-02-03,26.9,22.8,30.8,0.0,,,17.7,,1012.9,
2024-02-04,25.4,18.2,31.8,0.0,,,13.9,,1012.4,
2024-02-05,27.8,19.3,34.4,0.0,,,11.7,,1008.6,
2024-02-06,28.8,21.0,35.8,0.1,,,13.5,,1009.3,
2024-02-07,28.5,21.9,34.2,0.0,,,15.6,,1008.1,
2024-02-08,24.2,21.4,27.4,1.2,,,18.7,,1010.2,
2024-02-09,21.6,17.6,26.3,7.9,,,11.0,,1012.1,
2024-02-10,20.4,16.5,25.1,6.1,,,9.0,,1012.9,
2024-02-11,22.6,16.3,29.2,2.1,,,9.5,,1010.1,
2024-02-12,21.4,17.8,26.2,2.3,,,18.3,,1016.3,
2024-02-13,18.3,12.7,23.7,0.0,,,14.0,,1020.9,
2024-02-14,21.0,13.7,27.9,0.0,,,11.2,,1015.0,
2024-02-15,23.3,15.9,30.9,0.0,,,13.0,,1012.3,
2024-02-16,25.3,17.5,32.5,0.0,,,13.5,,1010.0,
2024-02-17,24.1,18.8,30.1,2.5,,,14.4,,1011.2,
2024-02-18,23.0,17.6,29.3,0.9,,,13.0,,1015.8,
2024-02-19,24.1,17.7,31.5,0.0,,,11.8,,1012.4,
2024-02-20,25.1,19.5,30.8,0.0,,,9.8,,1008.2,
2024-02-21,23.3,18.8,27.6,3.9,,,11.4,,1008.2,
2024-02-22,19.8,15.2,24.3,17.2,,,19.9,,1007.9,
2024-02-23,17.2,14.0,21.8,1.9,,,10.3,,1018.3,
2024-02-24,18.2,12.5,23.5,0.0,,,11.1,,1018.6,
2024-02-25,19.0,14.3,24.5,1.1,,,10.5,,1017.1,
2024-02-26,21.5,14.8,28.1,0.0,,,8.9,,1013.7,
2024-02-27,21.9,16.2,26.9,0.0,,,10.2,,1011.7,
2024-02-28,22.2,17.7,29.1,2.6,,,10.0,,1011.0,
2024-02-29,20.3,17.9,22.6,7.5,,,10.6,,1014.8,
2024-03-01,22.4,16.3,28.5,0.0,,,9.0,,1011.3,
2024-03-02,21.4,17.8,25.8,0.0,,,15.8,,1013.1,
2024-03-03,19.1,12.4,25.9,0.0,,,10.8,,1017.0,
2024-03-04,19.6,12.7,26.7,0.3,,,10.2,,1016.3,
2024-03-05,19.8,15.7,24.9,2.2,,,11.3,,1015.6,
2024-03-06,21.2,14.8,28.2,0.0,,,9.7,,1009.1,
2024-03-07,21.6,15.6,28.4,0.5,,,9.5,,1008.0,
2024-03-08,23.1,15.3,32.9,0.0,,,11.7,,1005.4,
2024-03-09,18.7,15.8,22.0,0.5,,,16.7,,1012.5,
2024-03-10,20.7,13.4,29.0,0.0,,,10.6,,1009.6,
2024-03-11,21.9,15.8,29.2,1.2,,,12.3,,1008.9,
2024-03-12,23.9,17.0,31.8,0.1,,,13.5,,1007.8,
2024-03-13,22.3,16.2,29.1,0.0,,,11.1,,1009.9,
2024-03-14,20.6,16.5,25.9,0.0,,,17.8,,1010.8,
2024-03-15,18.8,11.6,27.4,0.0,,,9.0,,1009.6,
2024-03-16,19.3,13.0,26.1,0.0,,,13.6,,1009.3,
2024-03-17,19.4,12.8,27.2,0.0,,,10.0,,1009.0,
2024-03-18,20.3,15.3,26.3,0.0,,,13.4,,1008.6,
2024-03-19,19.8,11.2,28.2,0.0,,,12.2,,1006.4,
2024-03-20,21.8,13.7,31.4,0.0,,,22.9,,1002.0,
2024-03-21,14.0,7.6,21.0,0.0,,,12.5,,1019.6,
2024-03-22,17.2,9.7,25.7,0.0,,,12.8,,1016.8,
2024-03-23,19.5,10.3,28.6,0.0,,,9.4,,1011.7,
2024-03-24,21.2,14.8,28.4,0.0,,,12.1,,1015.1,
2024-03-25,21.2,14.2,28.9,0.0,,,11.1,,1014.6,
2024-03-26,22.7,16.2,29.7,0.1,,,7.9,,1012.4,
2024-03-27,21.9,16.1,29.0,5.2,,,9.3,,1014.8,
