time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-01-20,21.5,12.3,28.3,1.5,,,6.3,,1010.6,
2022-01-21,25.5,19.7,27.2,3.7,,,9.1,,1007.8,
2022-01-22,26.4,20.0,31.6,0.5,,,5.8,,1006.4,
2022-01-23,25.8,19.3,29.6,0.1,,,7.3,,1010.1,
2022-01-24,24.9,21.8,29.3,1.2,,,6.6,,1010.9,
2022-01-25,23.7,20.0,28.4,12.2,,,8.6,,1009.2,
2022-01-26,24.0,17.4,25.2,3.8,,,8.9,,1014.1,
2022-01-27,20.0,15.3,20.9,59.9,,,11.0,,1019.1,
2022-01-28,21.9,15.2,23.5,0.9,,,4.7,,1013.5,
2022-01-29,24.9,17.7,26.6,0.7,,,5.2,,1010.1,
2022-01-30,26.5,18.5,28.3,0.0,,,5.3,,1008.0,
2022-01-31,23.6,18.7,25.6,2.1,,,9.5,,1012.8,
2022-02-01,25.1,16.5,30.3,0.0,,,6.5,,1008.5,
2022-02-02,24.8,19.8,26.8,2.8,,,7.8,,1009.8,
2022-02-03,21.6,16.5,24.8,3.0,,,8.8,,1011.3,
2022-02-04,22.3,16.3,22.7,2.9,,,8.1,,1012.5,
2022-02-05,16.6,14.3,18.4,4.9,,,7.6,,1019.9,
2022-02-06,18.2,9.7,21.6,0.0,,,6.5,,1019.7,
2022-02-07,22.0,13.9,25.0,0.0,,,5.7,,1016.2,
2022-02-08,24.9,16.2,29.7,0.0,,,7.2,,1013.1,
2022-02-09,25.1,15.8,30.0,0.3,,,8.4,,1008.4,
2022-02-10,25.6,17.7,29.4,2.1,,,13.0,,1005.8,
2022-02-11,20.3,16.9,20.8,5.1,,,16.7,,1016.4,
2022-02-12,17.5,11.3,20.6,1.5,,,7.4,,1021.4,
2022-02-13,20.1,10.9,24.7,0.0,,,6.3,,1013.5,
2022-02-14,24.0,15.2,29.6,0.0,,,5.1,,1010.4,
2022-02-15,25.3,15.6,31.0,0.0,,,5.4,,1009.6,
2022-02-16,26.6,20.0,29.7,0.0,,,12.9,,1013.4,
2022-02-17,24.2,16.0,27.7,0.0,,,7.6,,1015.2,
2022-02-18,24.3,16.2,29.7,0.0,,,6.3,,1008.5,
2022-02-19,23.7,16.1,27.3,0.1,,,11.6,,1009.2,
2022-02-20,22.4,14.9,25.7,0.9,,,8.7,,1009.8,
2022-02-21,17.1,14.3,18.2,5.3,,,11.0,,1016.3,
2022-02-22,16.2,12.7,19.2,2.2,,,7.1,,1017.4,
2022-02-23,18.4,14.9,20.6,3.6,,,6.0,,1010.3,
2022-02-24,18.2,10.6,20.8,3.7,,,8.6,,1013.0,
2022-02-25,21.0,12.9,23.6,0.0,,,6.0,,1012.7,
2022-02-26,24.0,15.3,28.7,0.0,,,6.6,,1009.4,
2022-02-27,24.3,19.3,26.0,0.0,,,9.1,,1009.6,
2022-02-28,22.7,15.8,25.1,0.3,,,7.2,,1014.5,
2022-03-01,22.6,14.7,29.6,0.0,,,6.2,,1011.2,
2022-03-02,23.1,15.2,26.9,0.0,,,6.3,,1012.3,
2022-03-03,25.7,18.1,29.7,0.0,,,6.5,,1008.8,
2022-03-04,24.7,19.3,28.0,1.3,,,8.0,,1009.5,
2022-03-05,21.4,19.1,21.3,2.6,,,12.3,,1012.3,
2022-03-06,20.4,15.1,25.3,0.0,,,5.0,,1007.7,
2022-03-07,21.3,15.9,24.0,5.6,,,6.4,,1011.0,
2022-03-08,21.7,13.4,26.6,0.0,,,5.2,,1009.2,
2022-03-09,20.9,14.5,24.4,0.0,,,12.9,,1013.9,
2022-03-10,18.8,11.1,23.3,0.0,,,7.5,,1017.1,
2022-03-11,18.2,14.5,20.6,0.0,,,6.2,,1020.0,
2022-03-12,19.9,12.0,25.6,0.0,,,5.6,,1014.8,
2022-03-13,21.2,14.8,26.1,0.0,,,9.8,,1017.8,
2022-03-14,23.0,14.3,30.0,0.0,,,7.3,,1014.7,
2022-03-15,23.5,15.2,27.3,0.0,,,6.0,,1015.2,
2022-03-16,24.0,16.8,30.2,0.0,,,7.6,,1008.5,
2022-03-17,23.0,17.9,25.0,0.0,,,14.4,,1010.0,
2022-03-18,18.6,14.3,19.2,0.2,,,5.5,,1019.6,
2022-03-19,17.2,10.4,21.1,0.0,,,6.6,,1018.0,
2022-03-20,18.3,10.3,21.1,0.0,,,6.5,,1014.9,
2022-03-21,18.5,9.6,24.1,0.0,,,6.5,,1010.9,
2022-03-22,20.6,12.7,23.5,0.0,,,7.6,,1011.2,
2022-03-23,20.9,14.1,28.8,0.4,,,8.7,,1005.3,
2022-03-24,14.2,6.0,19.5,0.0,,,8.7,,1018.3,
2022-03-25,15.3,8.3,20.5,0.0,,,7.6,,1017.9,
2022-03-26,17.9,8.9,23.9,0.0,,,8.7,,1011.7,
2022-03-27,20.7,11.8,26.7,0.0,,,6.5,,1011.1,
